    #theta              beta_x             alpha_x              beta_y             alpha_y
     21.48000000         1.463314910         1.379074715         3.765133728        -1.360479305
     21.52250000         1.453716504         1.360917667         3.774572388        -1.333862901
     21.56500000         1.444249534         1.343177652         3.783820751        -1.307744091
     21.60750000         1.434912394         1.325478423         3.792878974        -1.281148373
     21.65000000         1.425702695         1.308414756         3.801749350        -1.255658118
     21.69250000         1.416617849         1.291448216         3.810434792        -1.229862578
     21.73500000         1.407655314         1.275100228         3.818938229        -1.205177011
     21.77750000         1.398812699         1.258805285         3.827262285        -1.180093286
     21.82000000         1.390088391         1.242902802         3.835407584        -1.155545503
     21.90575000         1.372834548         1.211870862         3.851313886        -1.107365784
     21.99150000         1.356030253         1.182358690         3.866537015        -1.061454690
     22.07725000         1.339653919         1.154291059         3.881110223        -1.017800596
     22.16300000         1.323684134         1.127710387         3.895068969       -0.9767296421
     22.24875000         1.308102084         1.102200266         3.908443755       -0.9372094104
     22.33450000         1.292894754         1.077342116         3.921250106       -0.8981310025
     22.42025000         1.278047940         1.053716621         3.933508995       -0.8613864229
     22.50600000         1.263542972         1.031386088         3.945257163       -0.8273531774
     22.59175000         1.249361974         1.010178216         3.956531393       -0.7956763892
     22.67750000         1.235489940        0.9898568134         3.967361769       -0.7657635848
     22.76325000         1.221914379        0.9702991192         3.977772294       -0.7373460680
     22.84900000         1.208624890        0.9513307967         3.987781819       -0.7099613211
     22.93475000         1.195613777        0.9327386193         3.997401619       -0.6829858959
     23.02050000         1.182873164        0.9147636965         4.006644673       -0.6572987886
     23.10625000         1.170394045        0.8973334351         4.015528876       -0.6327423762
     23.19200000         1.158170050        0.8801442959         4.024064193       -0.6083336037
     23.27775000         1.146195551        0.8633948836         4.032258797       -0.5848040344
     23.36350000         1.134463785        0.8470571717         4.040125599       -0.5621195022
     23.44925000         1.122969633        0.8309242799         4.047672516       -0.5395939144
     23.53500000         1.111709409        0.8149979093         4.054902923       -0.5172575484
     23.62075000         1.100678507        0.7994138595         4.061824022       -0.4956452790
     23.70650000         1.089872164        0.7840647039         4.068444215       -0.4744038491
     23.79225000         1.079287013        0.7688571329         4.074767245       -0.4532105710
     23.87800000         1.068919474        0.7539192177         4.080798096       -0.4325758596
     23.96375000         1.058765963        0.7391277049         4.086542230       -0.4120646731
     24.04950000         1.048823987        0.7244489432         4.092001356       -0.3915650330
     24.13525000         1.039091348        0.7098765504         4.097176314       -0.3710654119
     24.22100000         1.029565198        0.6955156726         4.102070831       -0.3510063144
     24.30675000         1.020242355        0.6813140346         4.106690376       -0.3312092934
     24.39250000         1.011120017        0.6672710545         4.111039330       -0.3116971396
     24.47825000         1.002195403        0.6533878918         4.115122399       -0.2925002080
     24.56400000        0.9934657209        0.6396678492         4.118944728       -0.2736582474
     24.64975000        0.9849281274        0.6261185796         4.122512095       -0.2552300445
     24.73550000        0.9765803354        0.6126534159         4.125828362       -0.2368780802
     24.82125000        0.9684199754        0.5993736536         4.128898123       -0.2190529119
     24.90700000        0.9604438854        0.5862989522         4.131729748       -0.2018697896
     24.99275000        0.9526487339        0.5734381395         4.134332821       -0.1853999603
     25.07850000        0.9450311588        0.5607902598         4.136717558       -0.1696723931
     25.16425000        0.9375878158        0.5483568204         4.138894586       -0.1547254910
     25.25000000        0.9303156007        0.5361039486         4.140873939       -0.1404386239
